60;164;Visa/MasterCard UAH;UAH Карта;980;3;1011111111111111111111111111111101111111111110111111111111111000001001111110111111111111100011100000111100001100101011000111010010011111111111111011111111111111111111111100111110010111100111111001100000000000000010000000
46;130;Тинькофф cash-in;RUB ТКС cash-in;643;3;1000000100000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
61;45;BAT (BAT);BAT;1002;0;1111111111111111111111111111111111111111111111111111111111111000000001111111111111111111110001100000000000101111000001000111011111111111111111111011111111111111111111111101111110111111101111111101100000001111110011110001
62;128;Альфа cash-in RUB;RUB Альфа cash-in;643;3;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
63;75;QIWI RUB;RUB QIWI;643;1;1011111111111111111111111111111111111111111111111111111111111100001001111111111111111111111001111000101010001100000000000011011110111111111111110011111111111110111111000000001111111101000101000100000000000001000000000000
64;133;Русский Стандарт;RUB РусСтандарт;643;3;1011111111111111111111111111111111111111111111111111111111111000000001111110111111111111100001100000000000101100100000000010000000001010010111011011111111111111100101111101110110010111101111111000100000000000000000000000
65;163;Visa/MasterCard EUR;EUR Карта;978;3;1001111110111111110111111111111111111111111111111111111101111000000001111110111111111011100001100110000000001000000000000000000000000000000000000000000000111110100001000000000000111001000000000100001000000000000000000000
57;137;Кукуруза;RUB Кукуруза;643;3;1010111110111111110111111111011101111111111111111111111111100000000001100110101011111011100001100000100000001000000000000000000000000000000000000011111111000000000100000000000000000100000000000000000000000000000000000000
66;159;Kaspi Bank;KZT KaspiBank;398;3;1001111100111111110111111111111111111111111111111111111100111000000001111111111111111011110001100000100000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
67;200;WU USD;USD WU;840;4;1000100100111110111110000000011000111000100000000000010000001000000001100000000010100010000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
68;149;Ощадбанк;UAH Ощадбанк;980;3;1011111111111111111111111111111101111101111110111111111111111000001001111110111111111111100011100000111000001100000011000011010010011111111111111011111111111111111111111100111110010111100111111001100000000000000010000000
69;179;Любой банк USD;USD Банк;840;3;1001111110111111111111111111111111111111111111111111111100111000000001111110111111111011101001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010100000
73;4;Wrapped BTC (WBTC);WBTC;967;0;1011111111111111111111111111111111111111111111111111111111111000000001111111111111111111100001100000000000101010000001000011010010111111111111110011111111111111111111111101111110111111001010000100100000000000000011110000
70;181;Любой банк EUR;EUR Банк;978;3;1001111110111111110111111111111111111111111111111111111100111000000001111110111111111011101001100000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000001000000000000010100000
71;180;Любой банк RUB;RUB Банк;643;3;1011111110111111111111111111111111111111111111111111111111111000000001111110111111111111100001100000100010101100000001000001010010011111010111011011111111111110111111011100111110010111100011000000100000000000000000000000
72;96;Neteller USD;USD Neteller;840;1;1000100100111110110110000000010001111000100000000000010000000000000001100110000010100010010000000000000000000000000000000001010010000000000000000010000000000000000000000000000000000000000000000000000000000000000010000000
74;93;Paxum;USD Paxum;840;1;0000000000000000001111111110000000000000000000000000000000001000000001000110100010000010000001000000000000000000000000000001010000000000000000000010000000000000010100000000000000101000000000000000000000000000000011000001
11;92;Idram;AMD Idram;51;1;1000000000001000000010000000000000000000000000000000000000001000000101000000000001100011000001000000000000000000000000000001000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000
75;158;ForteBank;KZT ForteBank;398;3;1001111100111111111111111111111111111111111111111111111100111000000001111111111111111011100001100000100000000000000010000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000
76;63;WMP;WMP;643;1;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
77;204;MoneyGram EUR;EUR MG;978;4;1000100100111110110010000000010000111000100000000000010000000000000001000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
78;203;MoneyGram USD;USD MG;840;4;1000100100111110110010000000010000111000100000000000010000001000000001000000000010000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
79;134;Авангард;RUB Авангард;643;3;1011111111111111111111111111111111111111111111111111111111111000000001111110111111111111100001100000000000101100000000000010000000000100000000001011111111100101000101111100111110010110100111111000100000000000000000000000
80;79;PayPal EUR;EUR PayPal;978;1;1000100100000000000000000000000000100000000000000000000000001001001001100110000011100000011000000000000000000000000000000001010010011111111111110011111111011110111101000000000000000100000000000000000000000000000000110000
81;186;Любой банк GBP;GBP Банк;826;3;1000100100111010110110111111001001110000110000111111110100001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
