93;42;4.39
42;93;3.47
93;105;2.35
10;42;2.22
10;105;1.87
139;42;1.44
105;93;1.38
10;56;1.13
6;93;1.06
10;84;1.05
63;93;0.95
99;42;0.94
93;59;0.84
10;60;0.82
139;105;0.81
93;56;0.8
59;93;0.76
1;56;0.73
42;10;0.69
117;56;0.69
93;84;0.68
63;10;0.62
93;66;0.62
117;42;0.55
56;93;0.5
1;42;0.49
99;105;0.48
105;10;0.43
56;10;0.39
42;40;0.39
