622;ProstoCash;;0;1007182113
625;PayGet;;0;23453984
629;MonEx;189133223119;2852;730641
626;Best-Obmen;;0;48843349
640;BTC2Pay;;0;978212
636;WorldChange;;0;124475935
664;BitHunter;;0;59170
667;BitMonsters;;0;45497
645;BtcBit;;0;7311678
681;CryptoHome;;0;1780119
635;Staff-Obmen;;0;8089
633;YChanger;;0;396235366
733;Bonanza-Obmen;;0;5312
736;Обменник-UZ;;0;18039
634;BestCoin;;0;6855363
668;MyCryptoMarket;;0;1784500
650;Real-Bit;;0;5537660
638;Bitcoin24SU;;0;478571
642;BuyBit;;0;32252
655;BitStore;;0;6921928
709;Nexchange;;0;797181
659;1-Online;;0;196149144
665;Perfect-Change;;0;24437
670;FastEx;;0;632857
652;LasloBit;;0;276217
731;BigBank;;0;664700
689;TransCoin;;0;5580671
651;Монетка;702499140547;870;33442
657;Easy-Changer;;0;366321
661;Ферма;;0;21351348
677;Bitcoin24Exchange;;0;2119366
654;Ru-Bas;;0;62826
738;HASchange;;0;1784912
702;Papa-Change;;0;579532
660;FlyChange;290933993890;2999;4296652
693;CryptoBroker;;0;24984297
714;Top-Exchange;;0;330787
715;Coins-Trade;;0;178067
676;Иеремия76;;0;81702
658;BtcTenge;;0;19886146
762;TetChange;;0;1427465
686;1Mile;;0;6827
695;BTC-Обменник;;0;2624253
706;HoBit;;0;7666307
705;Cryptonex;;0;50937
713;CashOut;;0;744125
687;WikiPays;;0;212014
701;WMCash;236702904683;1428;205894
749;BitOkk;;0;44327444
690;Fair-Exchange;413428403759;63;120179
685;BitCash;;0;561314
684;100Bitcoins;;0;92678951
723;BitObmen;;0;63554
718;Platov;;0;16667140
704;Change-X;;0;21537720
692;C1kWorld;;0;31798294
688;ExchangeExpress;279259009479;825;15650
710;Bittrend;;0;4670525
712;Criptify;;0;106008
755;Big-Changer;;0;31426
699;BitPro;;0;124574660
703;Obmen4you;320026778932;1371;16957
716;Bitok777;;0;129407
782;Tec-Bit;;0;62584
750;CashAdmin;;0;604193
763;PushPayer;753021635396;0;74548
758;CryptoBox;;0;12841230
741;BTCe-Obmen;;0;0
737;BonkyPay;232342940453;0;46067519
761;FlashObmen;;0;411258
754;ObmenIM;;0;140794
757;ChangeNow;;0;0
783;ОбменДенег;;0;0
779;MoneyMix;;0;189339
790;Турбина;;0;15213
776;XbiTrade;;0;526381
785;PayMarket;;0;77504
775;AllWMCash;;0;1189013
804;PayBTC;;0;5091416
780;Bitcoin24Pro;;0;74044724
774;ОбменМонет;;0;9900526
766;UniCash;;0;109453506
764;NiceChange;;0;242319294
772;CoinPayMaster;;0;189645461
792;SberBit;;0;725472
799;Криптообменник;;0;1127388
787;PrivatCash;;0;667953
801;Coin-Future;;0;234551
793;IceBTC;;0;14157460
798;Quickex;;0;57170734
808;ChangeCoins;;0;1198356
814;BitBits;;0;114982
835;7Pay;709807738416;1407;509934
827;Crypster;;0;15108396
812;Ex-Bank;;0;2907797
823;Обменочка;;0;141016
809;XbitMoney;155289860990;1405;641358
825;MyChanger;;0;912998
816;WM007;;0;27340
840;YoChange;;0;174914312
841;MegaChangeMe;432189717906;0;2305
839;MyInvestStory;;0;2814
821;ExchangeTeam;;0;38459236
815;Belqi;;0;25906767
842;AllMoney;406103529800;225;379373
850;Keine-Exchange;;0;5493993
846;ExchangeYourMoney;;0;911022
847;BitPride-Exchange;;0;147160768
848;SwapCoin;;0;17065889
852;RamonCash;;0;13771530
857;Paytiz;227421344645;224;4754629
855;CoinStart;;0;4928627
858;FixedFloat;;0;4082869
861;Fex24;;0;669836
865;Bixter;;0;12795659
869;ExpoChange;412963033166;0;325911
866;Delets;;0;18952620
872;WM-Obmen;362955051206;1731;49693
871;BitokMe;;0;304212265
895;CryptoBarMen;;0;0
867;Сумма;;0;5163655
870;Alfa-Trades;;0;510731
882;BuyBank;;0;4559489
881;AllTrustMe;;0;4298211
877;Об-мен;963523258975;86;357080
890;Bitcoff;631856629771;0;669611
884;Cryptex;;0;2006534
905;TraiderIdeal;;0;47645
902;BTC-Волга;;0;808563
885;JPMarket;;0;148039157
897;AnonEx;;0;1404431
888;GramBit;;0;291011140
894;КупиБит;;0;1820192
887;KZObmen;;0;47170
898;Вобменка;;0;291907
906;CryptoHonest;;0;113252748
901;WMStar;310224582545;0;514716
899;CoinShop24;;0;196382530
900;Obmen-Box;;0;265552
896;CoinChanger;;0;172516
910;WMT;797230232341;0;62928
915;CoinGuru;;0;22960292
914;Ex-code;;0;2204
989;CoinsBlack;890273718097;0;976907
913;Quantex;;0;2598504
917;Micro-exchange;;0;23306159
916;Cryptos;;0;482799
925;Sunduk;;0;214642
918;КриптоРай;;0;0
939;EuroBit;;0;6204792
935;Wiki-Exchange;;0;137456675
922;PayWallet;;0;134745
923;HD-Change;;0;32514
943;TopCash;;0;682254
928;CriptoMoney24;;0;4786360
927;Msk-Exchange;;0;44724452
933;TytCash;;0;57149
929;RoyalCash;;0;507113677
930;Crypto-Store;;0;77849
942;ExHub;;0;75805570
944;EExchanger;330964771407;302;4359207
947;Dynasty-Pay;;0;166711
949;Coco-Pay;;0;13600205
948;AbcObmen;;0;242878259
951;PrideChange;;0;34755583
952;ExLine;;0;102827
954;EggChange;;0;94866404
961;MyBTC;;0;61775809
960;Crybex;195257639270;0;16341331
959;ExchangeKey;;0;44943752
953;Livex;;0;27930
956;Обменко;;0;4692751
958;24Zone;;0;61253596
962;StyleBTC;;0;131255
963;Global-Ex;;0;53905
955;AlfaBit;;0;27545036
966;BlaBlaChange;;0;66362386
964;ExBase;;0;814121
1018;BissonExchange;;0;18247
967;КриптоОбмен;;0;803640
981;WMChanger;032757413663;0;1904062
1016;Банкир;;0;447143
997;CoinJoin;;0;10798479
985;Tuco;;0;6992042
983;Bitality;;0;18523658
968;CryptoMax;;0;119238800
